Virus Name	Host	Host strain or synonym	Host genus	Host taxon	Environment	Virus type	Virus genome size (Kbp)	Virus genome reference	Virus particle size (nm)	Host genome size (Mbp)	Host genome reference	Host cell volume (cubic microns)	Host cell volume reference	Burst size	Infectious units or counts	Latent period (hr)	Temperature (ºC)	Irradiance (µmol photons per m squared per s)	Growth rate (per day)	Primary reference
CsfrRNAV	Chaetoceros socialis f. radians		Chaetoceros	Diatom	Marine	ssRNA	9.5		22	2.39E+02	9	350	33	66	infectious	48	15	130	1.17	101
S-CBM2	Synechococcus	CB0101	Synechococcus	Cyanobacteria	Marine	dsDNA	180		90	2.37	19	1.1	34	28	counts	15	25	15		108
S-CBP1	Synechococcus	CB0101	Synechococcus	Cyanobacteria	Marine	dsDNA	48		52	2.37	19	1.1	34	86	counts	6	25	15		108
S-CBP2	Synechococcus	CB0208	Synechococcus	Cyanobacteria	Marine	dsDNA	48		55	2.37	19	1.1	34	92	counts	8	25	15		108
S-CBP3	Synechococcus	CB0101	Synechococcus	Cyanobacteria	Marine	dsDNA	48		55	2.37	19	1.1	34	75	counts	8	25	15		108
S-CBS2	Synechococcus	CB0204	Synechococcus	Cyanobacteria	Marine	dsDNA	70		90	2.37	19	1.1	34	65	counts	24	25	15		108
S-CBS3	Synechococcus	CB0202	Synechococcus	Cyanobacteria	Marine	dsDNA	30		56	2.37	19	1.1	34	175	counts	24	25	15		108
S-CBS4	Synechococcus	CB0101	Synechococcus	Cyanobacteria	Marine	dsDNA	65		72	2.37	19	1.1	34	57	counts	24	25	15		108
ClorDNAV	Chaetoceros lorenzianus		Chaetoceros	Diatom	Marine	ssDNA (partial ds)	5.8		34	1.00E+03	9	8000		2.20E+04	infectious	48	15	140	1.12	99
HpygDNAV	Heterocapsa pygmaea		Heterocapsa	Dinoflagellate	Marine	dsDNA			165	3716	51	501	107	175	infectious	36	20	85	0.47	44
Csp05DNAV 	Chaetoceros sp.	TG07-C28 	Chaetoceros	Diatom	Marine	ssDNA (partial ds)	11.6		33	2.39E+02	9	600		430	infectious	24	15	140	0.9	119
Csp07DNAV	Chaetoceros sp. 	SS628-11	Chaetoceros	Diatom	Marine	ssDNA (partial ds)	5.5		34	2.39E+02	9	424		29	infectious	12	15	130	0.94	48
MaMV-DC	Microcystis aeruginosa	FACHB-524	Microcystis	Cyanobacteria	Freshwater	dsDNA	160		70	4.3	113	60	57	80	infectious	24	25	35	0.133	71
Csp03RNAV	Chaetoceros sp.	SS08-C03	Chaetoceros	Diatom	Marine	ssRNA	9.40E+00		32	2.39E+02	9	500				48	15	130	1.51	102
CsetDNAV	Chaetoceros setoensis		Chaetoceros	Diatom	Marine	ssDNA	5.8		33	2.39E+02	9	800		2.00E+04	infectious	48	15	130	1.78	103
P-SSP7	Prochlorococcus	MED4	Prochlorococcus	Cyanobacteria	Marine	dsDNA	45			1.66E+00	79	0.113	12	40	counts	5.5	20	30	0.6	24
P-GSP1	Prochlorococcus	MED4	Prochlorococcus	Cyanobacteria	Marine	dsDNA	45			1.66E+00	79	0.113	12	65	counts	5	24	206	0.55	24
P-HM1	Prochlorococcus	MED4	Prochlorococcus	Cyanobacteria	Marine	dsDNA	181			1.66E+00	79	0.113	12	15	counts	6.5	20	30	0.6	24
P-HM2	Prochlorococcus	MED4	Prochlorococcus	Cyanobacteria	Marine	dsDNA	184			1.66E+00	79	0.113	12	30	counts	5	20	30	0.6	24
P-HS2	Prochlorococcus	MED4	Prochlorococcus	Cyanobacteria	Marine	dsDNA	38.3			1.66E+00	79	0.113	12	160	counts	6.5	20	30	0.6	24
P-HS3	Prochlorococcus	MED4	Prochlorococcus	Cyanobacteria	Marine	dsDNA	37.8			1.66E+00	79	0.113	12	25	counts	8	20	30	0.6	24
Syn5	Synechococcus	WH8109	Synechococcus	Cyanobacteria	Marine	dsDNA	46.2		60	2.37	19	1.1	34	24	infectious	1	28	47.5	1.11	75
S-TIM5	Synechococcus	WH8102	Synechococcus	Cyanobacteria	Marine	dsDNA	161		86	2.37	19	1.1	34	35	infectious	6	22	20		80
CtenDNAV type II	Chaetoceros tenuissimus		Chaetoceros	Diatom	Marine	ssDNA (partial ds)	5.6		37	2.39E+02	9	3.24E+02		1.70E+03	infectious	24	20	130	1.86	47
CtenRNAV type II	Chaetoceros tenuissimus		Chaetoceros	Diatom	Marine	ssRNA	9.6		35	2.39E+02	9	3.24E+02		2.84E+02	infectious	36	20	130	1.86	47
HeV RF02	Haptolina ericina	Chrysochromulina ericina	Haptolina	Haptophyte	Marine	dsDNA	530		175	1.07E+03	106	113	39	775	counts	14	14	100		42
PkV RF01	Prymnesium kappa		Prymnesium	Haptophyte	Marine	dsDNA			310					80	counts	24	14	100		42
PkV RF02	Prymnesium kappa		Prymnesium	Haptophyte	Marine	dsDNA	507		160					400	counts	12	14	100		42
SpalV	Stephanopyxis palmeriana		Stephanopyxis	Diatom	Marine				27.5			3.50E+05	84	92	infectious	40	20	85	0.91	46
ScosV	Skeletonema costatum		Skeletonema	Diatom	Marine				47.5			186	22	170	infectious	40	20	85	0.84	45
CpV-BQ1	Chrysochromulina parva		Chrysochromulina	Haptophyte	Marine	dsDNA	485		145	353	106	20	50	63	counts	48	15	23	0.18	63
TsV	Tetraselmis striata		Tetraselmis	Chlorophyte	Marine	dsDNA	31		60	90	3	382	94	4.00E+04	counts	24	17			74
Vb-AphaS-CL131	Aphanizomenon flos-aquae		Aphanizomenon	Cyanobacteria	Freshwater	dsDNA	120		97	4.5		12	77	218	infectious	36	22		0.48	93
Pf-WMP4	Phormidium foveolarum		Phormidium	Cyanobacteria	Freshwater	dsDNA	40.9		55	4.65		6.3	43	145	infectious	4	28	28		56
Pf-WMP3	Phormidium foveolarum		Phormidium	Cyanobacteria	Freshwater	dsDNA	43.2		55	4.65		6.3	43	113	infectious	5	28	28		55
